county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot
Baringo,0.08,2021 H1,2021-03-31,0,1,2021,0.07696104113612832,18.21,0
Baringo,0.08,2021 H2,2021-09-30,1,2,2021,0.07696104113612832,18.21,0
Baringo,2.25,2022 H1,2022-03-31,2,1,2022,1.1786549963416462,18.21,0
Baringo,7.3,2022 H2,2022-09-30,3,2,2022,2.1162555148025524,18.21,0
Baringo,0.1,2023 H1,2023-03-31,4,1,2023,0.09531017980432487,18.21,0
Baringo,6.45,2023 H2,2023-09-30,5,2,2023,2.0082140323914683,18.21,0
Baringo,0.0,2024 H1,2024-03-31,6,1,2024,0.0,18.21,0
Baringo,0.65,2024 H2,2024-09-30,7,2,2024,0.5007752879124893,18.21,0
Baringo,1.3,2025 H1,2025-03-31,8,1,2025,0.832909122935104,18.21,0
Bomet,1.4,2021 H1,2021-03-31,0,1,2021,0.8754687373538999,736.689,0
Bomet,6.6,2021 H2,2021-09-30,1,2,2021,2.028148247292285,736.689,0
Bomet,1.0,2022 H1,2022-03-31,2,1,2022,0.6931471805599453,736.689,0
Bomet,2.964,2022 H2,2022-09-30,3,2,2022,1.3772536164677416,736.689,0
Bomet,1.01,2023 H1,2023-03-31,4,1,2023,0.6981347220709844,736.689,0
Bomet,301.0,2023 H2,2023-09-30,5,2,2023,5.71042701737487,736.689,0
Bomet,279.8,2024 H1,2024-03-31,6,1,2024,5.637642672151656,736.689,0
Bomet,140.905,2024 H2,2024-09-30,7,2,2024,4.955157819626969,736.689,0
Bomet,2.01,2025 H1,2025-03-31,8,1,2025,1.1019400787607843,736.689,0
Bungoma,2.4,2021 H1,2021-03-31,0,1,2021,1.2237754316221157,1346.145,0
Bungoma,8.35,2021 H2,2021-09-30,1,2,2021,2.2353763433005955,1346.145,0
Bungoma,575.6,2022 H1,2022-03-31,2,1,2022,6.357148785204302,1346.145,0
Bungoma,10.625,2022 H2,2022-09-30,3,2,2022,2.45315795147342,1346.145,0
Bungoma,510.56,2023 H1,2023-03-31,4,1,2023,6.23746488056512,1346.145,0
Bungoma,16.16,2023 H2,2023-09-30,5,2,2023,2.8425810940598164,1346.145,0
Bungoma,33.4,2024 H1,2024-03-31,6,1,2024,3.5380565643793527,1346.145,0
Bungoma,168.7,2024 H2,2024-09-30,7,2,2024,5.134032172240181,1346.145,0
Bungoma,20.35,2025 H1,2025-03-31,8,1,2025,3.0610517396746335,1346.145,0
Busia,696.46,2021 H1,2021-03-31,0,1,2021,6.54744516438083,4722.028,1
Busia,171.54,2021 H2,2021-09-30,1,2,2021,5.1506290936484325,4722.028,1
Busia,110.42,2022 H1,2022-03-31,2,1,2022,4.71330684459267,4722.028,1
Busia,109.388,2022 H2,2022-09-30,3,2,2022,4.704001432283021,4722.028,1
Busia,390.0,2023 H1,2023-03-31,4,1,2023,5.968707559985366,4722.028,1
Busia,1149.63,2023 H2,2023-09-30,5,2,2023,7.048064897442322,4722.028,1
Busia,847.6,2024 H1,2024-03-31,6,1,2024,6.743587932768224,4722.028,1
Busia,1002.7,2024 H2,2024-09-30,7,2,2024,6.911448450819755,4722.028,1
Busia,244.29,2025 H1,2025-03-31,8,1,2025,5.502441184024992,4722.028,1
Elgeyo Marakwet,0.2,2021 H1,2021-03-31,0,1,2021,0.18232155679395462,84.63,0
Elgeyo Marakwet,0.46,2021 H2,2021-09-30,1,2,2021,0.3784364357202451,84.63,0
Elgeyo Marakwet,0.57,2022 H1,2022-03-31,2,1,2022,0.4510756193602167,84.63,0
Elgeyo Marakwet,5.44,2022 H2,2022-09-30,3,2,2022,1.8625285401162623,84.63,0
Elgeyo Marakwet,1.12,2023 H1,2023-03-31,4,1,2023,0.7514160886839212,84.63,0
Elgeyo Marakwet,0.09,2023 H2,2023-09-30,5,2,2023,0.08617769624105233,84.63,0
Elgeyo Marakwet,0.8,2024 H1,2024-03-31,6,1,2024,0.5877866649021191,84.63,0
Elgeyo Marakwet,0.9,2024 H2,2024-09-30,7,2,2024,0.6418538861723948,84.63,0
Elgeyo Marakwet,75.05,2025 H1,2025-03-31,8,1,2025,4.331391018705302,84.63,0
Embu,254.165,2021 H1,2021-03-31,0,1,2021,5.541910394729656,2055.945,0
Embu,25.99,2021 H2,2021-09-30,1,2,2021,3.295466427029913,2055.945,0
Embu,34.53,2022 H1,2022-03-31,2,1,2022,3.5703774100329357,2055.945,0
Embu,40.71,2022 H2,2022-09-30,3,2,2022,3.730740908208854,2055.945,0
Embu,145.2,2023 H1,2023-03-31,4,1,2023,4.984975547315678,2055.945,0
Embu,104.35,2023 H2,2023-09-30,5,2,2023,4.657288140250198,2055.945,0
Embu,12.1,2024 H1,2024-03-31,6,1,2024,2.5726122302071057,2055.945,0
Embu,1262.0,2024 H2,2024-09-30,7,2,2024,7.141245122350491,2055.945,0
Embu,176.9,2025 H1,2025-03-31,8,1,2025,5.18122159467179,2055.945,0
Garissa,5.0,2021 H1,2021-03-31,0,1,2021,1.791759469228055,178.8,0
Garissa,18.0,2021 H2,2021-09-30,1,2,2021,2.9444389791664403,178.8,0
Garissa,11.275,2022 H1,2022-03-31,2,1,2022,2.5075646736805846,178.8,0
Garissa,4.55,2022 H2,2022-09-30,3,2,2022,1.713797927758343,178.8,0
Garissa,10.774999999999999,2023 H1,2023-03-31,4,1,2023,2.4659786399024815,178.8,0
Garissa,17.0,2023 H2,2023-09-30,5,2,2023,2.8903717578961645,178.8,0
Garissa,2.2,2024 H1,2024-03-31,6,1,2024,1.1631508098056809,178.8,0
Garissa,55.0,2024 H2,2024-09-30,7,2,2024,4.02535169073515,178.8,0
Garissa,55.0,2025 H1,2025-03-31,8,1,2025,4.02535169073515,178.8,0
Homa Bay,4.0,2021 H1,2021-03-31,0,1,2021,1.6094379124341003,766.6,0
Homa Bay,6.35,2021 H2,2021-09-30,1,2,2021,1.9947003132247452,766.6,0
Homa Bay,3.75,2022 H1,2022-03-31,2,1,2022,1.55814461804655,766.6,0
Homa Bay,126.8,2022 H2,2022-09-30,3,2,2022,4.850466541943434,766.6,0
Homa Bay,0.65,2023 H1,2023-03-31,4,1,2023,0.5007752879124893,766.6,0
Homa Bay,35.45,2023 H2,2023-09-30,5,2,2023,3.5959414584546674,766.6,0
Homa Bay,10.7,2024 H1,2024-03-31,6,1,2024,2.4595888418037104,766.6,0
Homa Bay,418.6,2024 H2,2024-09-30,7,2,2024,6.039301876522142,766.6,0
Homa Bay,160.3,2025 H1,2025-03-31,8,1,2025,5.083265985131163,766.6,0
