county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot,lag_1,log_lag_1,lag_2,log_lag_2,lag_3,log_lag_3,roll_mean_2,roll_mean_3,roll_std_3,log_roll_mean_2,log_roll_mean_3,diff_1,log_diff_1,pct_change,trend_up,national_kg,county_share_pct,z_score
Baringo,0.08,2021 H1,2021-03-31,0,1,2021,0.07696104113612832,18.21,0,,,,,,,0.08,0.08,0.0,0.07696104113612832,0.07696104113612832,,,,0,6932.09297,0.0012,-0.6804831010866573
Baringo,0.08,2021 H2,2021-09-30,1,2,2021,0.07696104113612832,18.21,0,0.08,0.07696104113612832,,,,,0.08,0.08,0.0,0.07696104113612832,0.07696104113612832,0.0,0.0,0.0,0,4781.42,0.0017,-0.6804831010866573
Baringo,2.25,2022 H1,2022-03-31,2,1,2022,1.1786549963416462,18.21,0,0.08,0.07696104113612832,0.08,0.07696104113612832,,,1.165,0.8033333333333333,1.252850084141488,0.6278080187388873,0.4441923595379676,2.17,1.1016939552055178,2712.5,1,3621.407,0.0621,0.07937024163617955
Baringo,7.3,2022 H2,2022-09-30,3,2,2022,2.1162555148025524,18.21,0,2.25,1.1786549963416462,0.08,0.07696104113612832,0.08,0.07696104113612832,4.775,3.2099999999999995,3.7044972668366216,1.6474552555720994,1.1239571840934424,5.05,0.9376005184609062,224.44444444444446,1,7249.725,0.1007,1.8476925369128276
Baringo,0.1,2023 H1,2023-03-31,4,1,2023,0.09531017980432487,18.21,0,7.3,2.1162555148025524,2.25,1.1786549963416462,0.08,0.07696104113612832,3.6999999999999997,3.216666666666667,3.6960564570002625,1.1057828473034386,1.1300735636495078,-7.2,-2.0209453349982276,-98.63013698630137,0,11866.28,0.0008,-0.6734798444717003
Baringo,6.45,2023 H2,2023-09-30,5,2,2023,2.0082140323914683,18.21,0,0.1,0.09531017980432487,7.3,2.1162555148025524,2.25,1.1786549963416462,3.275,4.616666666666666,3.9345690149409416,1.0517621060978966,1.4065932423327816,6.3500000000000005,1.9129038525871436,6350.0,1,13714.12,0.047,1.5500541307771543
Baringo,0.0,2024 H1,2024-03-31,6,1,2024,0.0,18.21,0,6.45,2.0082140323914683,0.1,0.09531017980432487,7.3,2.1162555148025524,3.225,2.183333333333333,3.695379998502635,1.0041070161957342,0.7011747373985977,-6.45,-2.0082140323914683,-100.0,0,13415.2,0.0,-0.7084961275464854
Baringo,0.65,2024 H2,2024-09-30,7,2,2024,0.5007752879124893,18.21,0,0.0,0.0,6.45,2.0082140323914683,0.1,0.09531017980432487,0.325,2.3666666666666667,3.5511735149571804,0.25038764395624463,0.8363297734346525,0.65,0.5007752879124893,inf,1,14737.7,0.0044,-0.48089028756038227
Baringo,1.3,2025 H1,2025-03-31,8,1,2025,0.832909122935104,18.21,0,0.65,0.5007752879124893,0.0,0.0,6.45,2.0082140323914683,0.9750000000000001,0.65,0.6500000000000022,0.6668422054237966,0.44456147028253107,0.65,0.33213383502261473,100.0,1,12752.52,0.0102,-0.253284447574279
Bomet,1.4,2021 H1,2021-03-31,0,1,2021,0.8754687373538999,736.689,0,,,,,,,1.4,1.4,0.0,0.8754687373538999,0.8754687373538999,,,,0,6932.09297,0.0202,-0.6348026792642212
